Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Coinrule,https://www.crunchbase.com/organization/coinrule,For Profit,Private,Seed,"B2C, Blockchain, Cryptocurrency, FinTech, Trading Platform","Coinrule is a cryptocurrency trading platform that sends automated trading instructions to exchanges. Coinrule is a smarter system for trading because it adds automation across 10+ investment platforms. The company was founded in 2018 and is headquartered in London, England.","London, England, United Kingdom",11-50,Active,3549715,USD,3549715,2100000,USD,2100000,2021-09-27,
TRIVER,https://www.crunchbase.com/organization/triver,For Profit,Private,Seed,"B2B, Embedded Systems, Financial Services, FinTech, Information Technology","TRIVER provides small businesses with instant capital in a click. Using Open Banking data and AI models, we are revolutionising how small businesses can access finance.​ Our API-first platform is designed to be embedded with the digital service providers of the real economy (accounting software, digital banks, procurement software, etc.). We serve small businesses from any industry, enabling a broad range of partners to offer a flexible capital solution to their small business clients without complexity. ​","London, England, United Kingdom",1-10,Active,7000000,GBP,8699597,7000000,GBP,8699596,2023-04-19,info@triver.com
Credpal,https://www.crunchbase.com/organization/credpal,For Profit,Private,Seed,"E-Commerce, Financial Services, FinTech, Payments","Credpal is an innovative solution that allows businesses and individuals to buy anything and pay for it in installments across online and offline merchants by providing them with access to credit at the point of checkout. It provides a platform that offers transparency in services facilitating users to set up their accounts and choose their payment plan to minimize risk and connect to multiple financial institutions that provide credit for customers. Credpal was launched in 2018 by Fehintolu Olaogun and Olorunfemi Jegede and is headquartered in Lagos, Nigeria.","Lagos, Lagos, Nigeria",11-50,Active,16828944,USD,16828944,,,,2022-06-13,
Fordefi,https://www.crunchbase.com/organization/fordefi,For Profit,Private,Seed,"Blockchain, Cryptocurrency, FinTech, Software","The MPC wallet platform and Web3 gateway from Fordefi enables institutions to connect to dApps across multiple chains while keeping digital assets secure. Fordefi is the first institutional MPC wallet and security platform designed for decentralised finance. It provides MPC key management, self-service DeFi policy controls, time-of-transaction smart contract insights, transaction simulation, and risk alerts.","New York, New York, United States",11-50,Active,18000000,USD,18000000,18000000,USD,18000000,2022-11-08,
Prestamype,https://www.crunchbase.com/organization/prestamype,For Profit,Private,Seed,"Credit, Financial Services, FinTech, Lending","Prestamype was launched in 2017 with the aim of providing a broader access to funding to micro and small businesses, with better credit conditions. With its first product, a secured working capital loan with a real estate collateral, it has lent over USD 24 million to 750 Peruvian entrepreneurs (as of 1st of October 2021). In 2019, Prestamype launched its online FX platform called Cambio Seguro. In 2020, the company launched its digital factoring product. In 2021, INCA Ventures and Angel Ventures Peru (AVP), two leading funds in Peru, invested in the company.","Lima, Lima, Peru",51-100,Active,5000000,USD,5000000,5000000,USD,5000000,2023-08-23,info@prestamype.com
OTPless,https://www.crunchbase.com/organization/otpless,For Profit,Private,Seed,"FinTech, InsurTech, SaaS, Software","OTPless is a software company that develops SaaS products which enables users to log into various platforms using WhatsApp. They have officially partnered with WhatsApp to make their product safe, reliable and efficient. They are a young and dynamic company looking to revolutionize logging in as we know it.  OTPless is headquartered in Delhi, India and was founded in 2021.","Delhi, Delhi, India",1-10,Active,2700000,USD,2700000,2700000,USD,2700000,2023-05-10,hello@otpless.com
IDenfy,https://www.crunchbase.com/organization/idenfy,For Profit,Private,Seed,"FinTech, Fraud Detection, Identity Management, SaaS, Software","iDenfy is a global all-in-one identity verification, fraud prevention, and compliance platform best known for its end-to-end ID verification service. By combining artificial intelligence, biometric technology, and an in-house team of KYC experts, iDenfy helps prevent fraud and stay compliant while ensuring a user-friendly customer onboarding process. Recently, iDenfy introduced its own KYB version, a fully customizable Business Verification solution.","Kaunas, Kauno Apskritis, Lithuania",51-100,Active,340000,EUR,390962,50000,EUR,56847,2019-03-02,domantas@idenfy.com
TradeX,https://www.crunchbase.com/organization/tradex-cd89,For Profit,Private,Seed,"Consumer, FinTech, Trading Platform","TradeX is an exchange where you can trade directly on world events like inflation rate, movies collections or the next president. We are removing chaos from stock trading tools and providing direct exposure to events which affects asset prices and super simple to understand.","New Delhi, Delhi, India",11-50,Active,4500000,USD,4500000,3500000,USD,3500000,2022-04-03,911.6400.981help@tradexapp.co
Nala,https://www.crunchbase.com/organization/nala-money,For Profit,Private,Seed,"Banking, Finance, Financial Services, FinTech","NALA is an application that acts as an interface on top of the mobile money payment systems that allows the user to make transfers, payments, and transactions seven times faster, without data connectivity. Their services include financial inclusion, digital financial services, mobile money, and fintech.","Dar Es Salaam, Dar es Salaam, Tanzania",1-10,Active,10210000,USD,10210000,10000000,USD,10000000,2022-01-27,mamanala@nala.money
8vdX,https://www.crunchbase.com/organization/8vdx,For Profit,Private,Seed,"Finance, Financial Services, FinTech, Marketplace, Payments, Transaction Processing, Venture Capital","8vdX is a marketplace for founder-friendly acceleration capital. It was founded in 2021 and is headquartered in Norwalk, Connecticut, United States.","Norwalk, Connecticut, United States",1-10,Active,3000000,USD,3000000,3000000,USD,3000000,2022-05-06,hello@8vdx.com
Tyke,https://www.crunchbase.com/organization/tyke,For Profit,Private,Seed,"Financial Services, FinTech","Tyke is a private investment platform which lets you invest as little as INR 5000 in private startups. We also provide an exit option in just 6 months. We host innovative startups across a multitude of sectors, including consumer, healthtech, edtech, fintech, AI, AR/VR, blockchain, food and beverages, etc. Additionally, Tyke helps you raise capital for your startup. With our easy and quick application process, Tyke makes fundraising simple and accessible.  Join us in our mission to make startup investing accessible to all.","Mumbai, Maharashtra, India",11-50,Active,1600000,USD,1600000,,,,2023-01-01,contactus@tykeinvest.com
Brick,https://www.crunchbase.com/organization/brick-96a6,For Profit,Private,Seed,"Developer APIs, Financial Services, FinTech, Information Technology","Brick builds financial APIs for fintech products. They give convenience to processing end-users' financial data digitally for every personalized need of fintech companies, with data such as transaction data spanning multiple platforms across telcos, e-wallets, e-commerce, and super apps.","Jakarta, Jakarta Raya, Indonesia",1-10,Active,8600000,USD,8600000,8500000,USD,8500000,2022-02-10,
Dinari,https://www.crunchbase.com/organization/dinari,For Profit,Private,Seed,"Finance, Financial Services, FinTech","Dinari offers global employee stock options and incentive management. It delivers a wide range of services from equity management and options grants to payroll compliance, taxes, and vesting schedules.","Palo Alto, California, United States",1-10,Active,7500000,USD,7500000,7500000,USD,7500000,2023-07-12,hello@dinari.com
Nirvana Health,https://www.crunchbase.com/organization/nirvana-health,For Profit,Private,Seed,"FinTech, Health Care, Health Insurance, Insurance, InsurTech, Wellness","Nirvana Health, based in New York City, offers solutions for mental health care providers to navigate and automate complex and time-consuming insurance-related tasks. Established in 2020 by co-founder and president Kelvin Chan, the company aims to maximize therapists’ focus on patients by relieving providers of the necessary filing, managing, and follow-up of insurance claims.","New York, New York, United States",1-10,Active,15200000,USD,15200000,7500000,USD,7500000,2021-11-16,info@meetnirvana.com
Credilio,https://www.crunchbase.com/organization/credilio,For Profit,Private,Seed,"Advice, Financial Services, FinTech, Personal Finance","Credilio is a digital financial platform that offers loans, credit cards, and advisory services to individuals and families.","Mumbai, Maharashtra, India",11-50,Active,300000000,INR,3918918,300000000,INR,3918917,2022-03-23,ping@credilio.in
SadaPay,https://www.crunchbase.com/organization/sadapay,For Profit,Private,Seed,"Banking, Financial Services, FinTech","SadaPay is digital bank bringing modern financial services to Pakistan, where 87% of over 220 million people are formally unbanked.","Islamabad, Islamabad, Pakistan",251-500,Active,20000000,USD,20000000,10700000,USD,10700000,2022-04-18,Hello@sadapay.pk
Alongside,https://www.crunchbase.com/organization/alongside-finance,For Profit,Private,Seed,"Cryptocurrency, FinTech",Alongside builds indexes for cryptocurrencies.,"San Francisco, California, United States",1-10,Active,11000000,USD,11000000,11000000,USD,11000000,2023-02-15,hello@alongside.xyz
Bancor,https://www.crunchbase.com/organization/bancor-protocol,For Profit,Private,Seed,"Cryptocurrency, Financial Services, FinTech","Bancor Protocol™ is a standard for the creation of Smart Tokens™, cryptocurrencies with built-in convertibility directly through their smart contracts. Bancor utilizes an innovative token “Connector” method to enable formulaic price calculation and continuous liquidity for all compliant tokens, without needing to match two parties in an exchange. Smart Tokens™ interconnect to form token liquidity networks, allowing user-generated cryptocurrencies to thrive. For more information, please visit the website and read the Bancor Protocol™ Whitepaper.","Zug, Zug, Switzerland",101-250,Active,152310000,USD,152310000,,,,2018-02-01,contact@bancor.network
50fin,https://www.crunchbase.com/organization/50fin,For Profit,Private,Pre-Seed,FinTech,50Fin allows you to borrow against your securities and mutual funds without having to liquidate your assets.,"Bangalore, Karnataka, India",1-10,Active,42500000,INR,518246,42500000,INR,518246,2023-07-04,
Scaleup Finance,https://www.crunchbase.com/organization/scaleup-finance,For Profit,Private,Seed,"Finance, FinTech, Software, Subscription Service","Scaleup Finance is a subscription-based financial management platform designed to improve the management and administration of financial operations. With their finances under control, clients can concentrate on areas that add more value to their business.","Copenhagen, Hovedstaden, Denmark",51-100,Active,9041542,USD,9041542,,,,2023-08-01,contact@scaleup.finance
Super Payments,https://www.crunchbase.com/organization/super-payments,For Profit,Private,Pre-Seed,"Financial Services, FinTech, Payments, Transaction Processing","Super Payments aims to transform the online shopping experience powering free payments for businesses, and rewarding shopping for members. Businesses on Super will only pay a commission if it results in an increase in sales, as opposed to charging merchants transaction fees.","London, England, United Kingdom",11-50,Active,30000000,USD,30000000,30000000,USD,30000000,2022-04-20,
Kore Labs,https://www.crunchbase.com/organization/kore-61c9,For Profit,Private,Seed,"Finance, Financial Services, FinTech, Information Technology, SaaS, Software","Kore is a cloud-enabled, SaaS solution for digital product governance in the financial services industry and the first-ever PRM (Product Relationship Management) application. Our turn-key digital service aggregates, organises, visualises and analyses product data throughout the entire product lifecycle, from idea generation to retirement. We provide a complete digital audit trail of events and decisions related to a financial product. Crucially, we build corporate memory, with product events and historical information retrievable at the touch of a button and stored in a uniform format. We accommodate all regulated financial product types including investments, savings, lending, payments, and insurance – both for small businesses and large enterprises.   Our solution is fully configurable, modular and acts as a digital layer that sits above legacy systems. Implementation can be staggered and needs no big bang data migration or heavy systems integration. Kore enables: 1. True product governance oversight, allowing senior managers to meet their regulatory obligations 2. Controlled and cost-effective cross-product management for product specialists 3. Intuitive and consistent product information for the front-line","London, England, United Kingdom",11-50,Active,2400000,GBP,3052740,2400000,GBP,3052739,2023-08-09,info@korelabs.com
Poko,https://www.crunchbase.com/organization/poko-8d11,For Profit,Private,Seed,"Consulting, Cryptocurrency, Financial Services, FinTech, Gaming, Information Technology, Payments","Poko enables seamless transfers from local payment rails to web3 infrastructure enabling web3 wallets, marketplaces, games and DApps to acquire more users. With Poko’s SDK, web3 builders can easily enable fiat-to-crypto onramping with 100+ common local payment methods or easily pay for NFTs with local payment methods. Poko's fiat-to-crypto onramp aggregator reduces onramping costs by up to 70% and increases transaction success rates by up to 5x through a smart routing logic and a single integration to multiple onramps. It's Direct Checkout solution enables one step purchasing from fiat payment rails from any smart contract for 79% higher user conversion. The co-founders’ experience includes being chief strategy officer of a $2.4B coincap protocol, leading technical implementation of Singapore’s central bank’s experiment in cross-border payments on blockchain rails, policy experience as payments task force member at the World Economic Forum, ex-Ethereum Foundation Fellow, and CTO of a 2M+ user play to earn game.","Singapore, Central Region, Singapore",11-50,Active,9000000,USD,9000000,4500000,USD,4500000,2023-06-15,hello@pokoapp.xyz
Line,https://www.crunchbase.com/organization/line-882b,For Profit,Private,Seed,"Credit, Finance, Financial Services, FinTech, Lending","Line is a subscription-based revolving line of credit available without credit-history, pay-slips, or credit-scores. Qualified active working professionals including gig workers join and access Line's tools, services, safety nets to save, spend, plan better and protect themselves against financial uncertainties via the Line iOS and Android apps. Money Service Businesses, Insurers, Teclos, Retailers, and Medical Market Places that these professionals actively use, embed line in their consumer channels to increase transaction volume and prevent non-payment, as well as in their business process to eliminate fraud, detect payment, and other lapses ahead of time.","San Francisco, California, United States",11-50,Active,27150000,USD,27150000,7000000,USD,7000000,2022-05-02,support@useline.com
Mthmr,https://www.crunchbase.com/organization/mthmr,For Profit,Private,Seed,"FinTech, Predictive Analytics","Mthmr makes saving seamless, by enabling rounding-up transactions, recurring and direct deposits, as well as cashback from our partner retailers, which is automatically added to your savings account. Mthmr offers its users with a powerful spend analysis tool to keep them on top of their financials, along with many more features.","Jeddah, Makkah, Saudi Arabia",1-10,Active,6000000,SAR,1599180,6000000,SAR,1599180,2023-08-02,admin@mthmr.com
SehaTech,https://www.crunchbase.com/organization/sehatech,For Profit,Private,Pre-Seed,"FinTech, Health Care",Healthcare fintech startup that helps in bridging the communication gap between the healthcare providers and streamline their monetary transactions.,"Cairo, Al Qahirah, Egypt",11-50,Active,850000,USD,850000,850000,USD,850000,2023-09-03,
Atlantic Money,https://www.crunchbase.com/organization/atlantic-money,For Profit,Private,Seed,"Apps, Finance, Financial Services, FinTech, Payments","Atlantic Money is a money transfer provider that offers international transactions for a flat fixed fee of £3 or €3 at the current exchange rate. All the way up to £1m or €1m. Atlantic Money is a international player in payment services that offers the world's cheapest solution for money transfers in foreign currencies. Atlantic Money was established in 2020 in London, England.","London, England, United Kingdom",11-50,Active,7500000,USD,7500000,3000000,USD,3000000,2022-07-21,support@atlantic.money
upSWOT,https://www.crunchbase.com/organization/upswot,For Profit,Private,Seed,"Banking, Developer APIs, Finance, Financial Services, FinTech, Software","upSWOT is an ""embedded Mint for businesses"" packed in 3 lines of code and powered by over 100 API-enabled Accounting, ERP, CRM, eCommerce, and other business-critical apps upSWOT works with 200+ Banks and FIs like Alkami, Jack Henry, Mastercard, OnDeck, FSNB, PwC, LexisNexis, Republic Bank, Old Missouri Bank, Sunwest Bank, Standard Chartered, LCF, and others","Fort Mill, South Carolina, United States",101-250,Active,4500000,USD,4500000,4300000,USD,4300000,2021-03-15,dn@upswot.com
Topkey,https://www.crunchbase.com/organization/topkey,For Profit,Private,Seed,"FinTech, Real Estate, Software, Vacation Rental","Topkey is an app that tracks expenses by property, sync transactions across systems, and save tons of money on bookkeeping. Topkey was founded in 2020 and was headquartered in San Francisco, USA.","San Francisco, California, United States",1-10,Active,5200000,USD,5200000,5200000,USD,5200000,2023-07-05,info@topkey.io
Conduit,https://www.crunchbase.com/organization/conduit-6c44,For Profit,Private,Seed,"Cryptocurrency, Developer APIs, Financial Services, FinTech, Information Technology","Conduit is bringing DeFi to the masses, one product at a time -  One API for DeFi. We make it easy to launch products that provide financial services to your customers in digital USD or Euros in days, not months. With Conduit, financial growth is accessible to everyone. Why choose Conduit?       With the Conduit API, your developers can build on top of our powerful infrastructure to integrate DeFi so seamlessly, your customers won’t even know they’re using crypto. Quickly and easily integrate crypto-backed products while keeping your customers engaged in your platform. The Conduit team brings nearly a decade of experience in building crypto and fintech companies. Seeing firsthand the opportunities and hurdles businesses face when bridging across these ecosystems, Conduit aims to remove the complexity of accessing DeFi for financial platforms in a scalable way that makes better financial products more accessible to everyone.  - our API was built by technical experts with industry-standard security and compliance from the start.  - we have stringent protocol integration and only work with industry-leading DeFi protocols that have strong track records against cyber threats. - we provide a reliable way to track customer balances, interest, and transactions through an integrated ledger that will serve as your book of record.","Boston, Massachusetts, United States",11-50,Active,17000000,USD,17000000,17000000,USD,17000000,2022-01-13,hello@conduit.financial
CheQ Digital,https://www.crunchbase.com/organization/cheq-digital,For Profit,Private,Seed,FinTech,CheQ Digital operates as a fintech startup. CheQ is a website that aims to make it easier for users to find and manage their credit products online.,"Bengaluru, Karnataka, India",11-50,Active,10000000,USD,10000000,10000000,USD,10000000,2022-06-30,
Piggyvest,https://www.crunchbase.com/organization/piggybank.ng,For Profit,Private,Seed,"Banking, Debit Cards, Finance, Financial Services, FinTech","Piggyvest enables Nigerian debit card holders save little amounts of money frequently with minimal effort. They automate the process of saving tiny amounts daily, weekly, or monthly; and then allowing you to withdraw for free on only set withdrawal dates thereby practically making saving more possible for you by eliminating the temptation to withdraw. Piggyvest is a platform that helps individuals and businesses manage their finances effectively - save and invest with ease. As Piggybank.ng, Piggyvest operated in partnership with 2 Microfinance banks and used their licenses. However, in early 2018, Piggyvest acquired Gold Microfinance bank and its license. Piggyvest is also a registered cooperative- Piggytech Cooperative Multipurpose Society Limited (Registration number, 16555).  All saved funds are now warehoused with and managed by AIICO Capital, the leading asset management company in Nigeria, registered and licensed by the Securities and Exchange Commission (SEC).","Lagos, Lagos, Nigeria",11-50,Active,1150000,USD,1150000,1100000,USD,1100000,2018-05-31,contact@piggyvest.com
Boom,https://www.crunchbase.com/organization/boom-1f1d,For Profit,Private,Seed,"Financial Services, FinTech, Mobile Payments","Boom provides financial solutions to produce credit and rent payments. Their platform allows users to pay their rent via credit or debit cards, bank transfers, and wallets, enabling users to pay rent.","New York, New York, United States",1-10,Active,4500000,USD,4500000,4500000,USD,4500000,2023-05-31,hello@boompay.app
Stack Finance,https://www.crunchbase.com/organization/stack-finance,For Profit,Private,Seed,"Banking, Financial Services, FinTech, Personal Finance","Stack is a mobile finance platform for the millennial and gen-z generation. Its platform helps people lead healthier financial lives and automate their savings, spending, and investments along with their friends and family.  The company was founded in 2019 and is headquartered in Bengaluru, Karnataka.","Bengaluru, Karnataka, India",11-50,Active,4500000,USD,4500000,,,,2022-03-23,hello@stackfinance.co
Trunk Tools,https://www.crunchbase.com/organization/trunk-tools,For Profit,Private,Seed,"FinTech, Productivity Tools, Software",Trunk Tools is a construction financial technology company that aligns workers’ incentives through measurable goals based on best practices in psychology and cutting-edge AI.,"New York, New York, United States",11-50,Active,9900000,USD,9900000,9900000,USD,9900000,2023-07-13,support@trunk.tools
Ayekart Fintech,https://www.crunchbase.com/organization/ayekart-fintech,For Profit,Private,Seed,"FinTech, Marketplace, Mobile Apps, Supply Chain Management","Ayekart Fintech is an integrated supply chain and finance startup that offers a digital marketplace for manufacturers, processors, and distributors. The company was founded in 2020 and is headquartered in Mumbai, Maharashtra, India.","Mumbai, Maharashtra, India",11-50,Active,6746594,USD,6746594,2800000,USD,2800000,2022-09-07,milind@ayekart.com
Cake,https://www.crunchbase.com/organization/cake-equity,For Profit,Private,Seed,"FinTech, Legal Tech, SaaS","Equity should be a piece of cake. We’re on a mission to simplify companies issuing and transferring shares, options and notes, and keeping your owners sweet. Started in Australia, we now help startups in Singapore, US, UK, India, UAE, New Zealand and growing fast!","Gold Coast, Queensland, Australia",11-50,Active,4575000,AUD,3274948,,,,2023-01-09,hello@cakeequity.com
Lama AI,https://www.crunchbase.com/organization/lama-ai,For Profit,Private,Seed,"Banking, Commercial Lending, Finance, Financial Services, FinTech, Lending, Machine Learning","Lama AI helps to grow business loan portfolios and approve more customers using AI. Lama AI helps small and medium businesses grow through fair, transparent capital. The company is headquartered in NYC, US with an R&D center in Tel Aviv, Israel.","New York, New York, United States",,Active,9000000,USD,9000000,9000000,USD,9000000,2022-10-27,hello@lama.ai
Alaan,https://www.crunchbase.com/organization/alaan,For Profit,Private,Seed,"B2B, Banking, Financial Services, FinTech, Payments, Productivity Tools, Software","Alaan is the largest and most comprehensive spend management platform in the Middle East. Seamlessly integrating into accounting systems, Alaan saves businesses time and money and gives them control of their business spend.","Dubai, Dubai, United Arab Emirates",11-50,Active,7000000,USD,7000000,4500000,USD,4500000,2023-01-16,support@alaanpay.com
RITMO,https://www.crunchbase.com/organization/ritmo,For Profit,Private,Seed,"Financial Services, FinTech","RITMO is a cash flow management platform for e-commerce businesses in Europe and LATAM. RITMO’s all-in-one financial solution enables e-commerce to efficiently manage their cross-border payments and get access to flexible funding, making it easier for e-commerce entrepreneurs to spend time on building incredible businesses.","Madrid, Madrid, Spain",11-50,Active,219971942,USD,219971942,,,,2022-05-01,
TripleA,https://www.crunchbase.com/organization/triplea,For Profit,Private,Seed,"Bitcoin, E-Commerce, E-Commerce Platforms, Ethereum, Financial Services, FinTech, Gaming, Mobile Payments, Payments","TripleA helps businesses increase their revenue by enabling crypto payments and payouts, leveraging on the fast-growing 450m+ people using cryptocurrencies. With its white-label, easy setup, instant confirmation, locked-in exchange rate, real-time fiat conversion, and no chargeback crypto payment solution, TripleA meets the needs of e-commerce merchants, retailers, game providers, PSPs, fintech, and marketplaces. TripleA was founded in Singapore in 2017 by Eric Barbier, a repeat entrepreneur in FinTech. The company is licensed by MAS, the Monetary Authority of Singapore (Singapore's Central Bank), allowing partners to operate in a fully compliant and regulated environment.","Singapore, Central Region, Singapore",51-100,Active,4000000,USD,4000000,4000000,USD,4000000,2022-06-15,sales@triple-a.io
Themis,https://www.crunchbase.com/organization/themis-42d8,For Profit,Private,Seed,"FinTech, Software","Themis is the first platform that allows banks, fintech, and cryptos to create a strong compliance environment instantly while enabling collaboration so industries can create standards together and push innovation forward. This technology will solve long-standing industry communication issues.","Atlanta, Georgia, United States",11-50,Active,9000000,USD,9000000,,,,2022-08-10,
Pluto Card,https://www.crunchbase.com/organization/pluto-736d,For Profit,Private,Seed,"B2B, Banking, Financial Services, FinTech, Information Technology, SaaS, Software","The #1 Spend Management Platform in MENA Instantly create unlimited corporate cards, close your books 10x faster, gain 100% control of your company's finances, and automate your Account Payables and Reimbursement processes.","San Francisco, California, United States",11-50,Active,6000000,USD,6000000,6000000,USD,6000000,2022-02-03,media@plutocard.io
finmid,https://www.crunchbase.com/organization/finmid,For Profit,Private,Seed,"Financial Services, FinTech, Lending, Software","finmid enables software companies to integrate financial services into their product portfolio through a single API integration. The company was founded in 2021 and is based in Berlin, Germany.","Berlin, Berlin, Germany",11-50,Active,12600000,EUR,14436046,10600000,EUR,12032055,2022-02-11,imprint@finmid.com
Vauban,https://www.crunchbase.com/organization/vauban-4b11,For Profit,Private,Seed,"Financial Services, FinTech, Information Technology, Legal, Legal Tech","Vauban is a tech company reshaping the world of private investing. The platform makes it easier, faster, and more cost-effective for anyone to co-invest in private companies. With Vauban, you can easily create your Syndicate online, start sharing your deal flow and let your network co-invest with you in startups. Vauban has automated the SPV & funds setup process.","London, England, United Kingdom",11-50,Active,7275000,GBP,9635548,4700000,GBP,6269090,2021-11-26,hello@vauban.io
IronVest,https://www.crunchbase.com/organization/ironvest,For Profit,Private,Seed,"FinTech, Internet, Security","IronVest is a security technology developed to protect data, identity, and financial accounts in every online transaction.","New York, New York, United States",11-50,Active,23000000,USD,23000000,23000000,USD,23000000,2022-01-12,
xalts,https://www.crunchbase.com/organization/xalts,For Profit,Private,Seed,"Blockchain, Financial Services, FinTech",xalts provides digital assets infrastructure for financial services. Institutions of every size - from large banks to fintechs - use xalts to build their own blockchain based applications.  Our mission is to help financial services leverage blockchain technology to modernize the platforms and solutions that power everything from capital markets to consumer finance.,"London, England, United Kingdom",1-10,Active,6000000,USD,6000000,6000000,USD,6000000,2022-10-06,
lemon.markets,https://www.crunchbase.com/organization/lemon-markets,For Profit,Private,Seed,"Developer APIs, Enterprise Applications, Financial Services, FinTech, Impact Investing, Trading Platform","Lemon.markets is a FinTech company that offers an easy-to-use API for stock trading. The company's API also helps to support creating and executing orders at the stock market and retrieving market data. Additionally, it enables developers to build their own investment and trading tools for the stock market via their Trading API. Co-founded in 2020 by Maximilian Linden and Marcel Katenhusen, the company is headquartered in Berlin, Germany.","Berlin, Berlin, Germany",11-50,Active,15000000,EUR,16462658,15000000,EUR,16462657,2022-04-04,max@lemon.markets
Numarics,https://www.crunchbase.com/organization/numarics,For Profit,Private,Seed,"Accounting, Finance, Financial Services, FinTech, SaaS","Numarics® is Switzerland’s first 100% digital accounting ecosystem, with a consistent mobile-first approach. Accounting, payroll, tax returns, invoicing, document management are now streamlined via the Numarics Ecosystem in the app or on the web, and make business management for entrepreneurs simple, accessible and transparent. Numarics was developed in 2020 by experts in the fields of accounting, digitalization, artificial intelligence and auditing  with the vision of seamlessly integrating accounting into the lifestyle of today's entrepreneurs.","Baar, Zug, Switzerland",101-250,Active,15097229,USD,15097229,10250000,EUR,11161929,2023-07-06,info@numarics.com
Realbricks,https://www.crunchbase.com/organization/realbricks,For Profit,Private,Seed,FinTech,Realbricks is a proptech company that democratizes real estate investing. They offer primary and secondary offerings that are compliant with SEC guidelines. Build your real estate portfolio brick by brick.,"Buffalo, Wyoming, United States",11-50,Active,6500000,USD,6500000,2000000,USD,2000000,2023-09-09,support@realbricks.com
FlyFin AI,https://www.crunchbase.com/organization/flyfin-ai,For Profit,Private,Seed,"Financial Services, FinTech",FlyFin is a consumer startup that focuses on automating financial lives. A.I. scans for all possible tax deductions and simply connects all expense accounts & FlyFin eliminates 98% of the work.,"San Jose, California, United States",1-10,Active,8000000,USD,8000000,8000000,USD,8000000,2021-12-09,
Ringkas,https://www.crunchbase.com/organization/ringkas,For Profit,Private,Seed,"Financial Services, FinTech, Real Estate","Ringkas aims to solve the housing problem by digitizing the overall value chain and creating an intelligent platform that would simplify the mortgage process, efficiently match customer profiles, and target assets to the risk appetite of the financial institutions. Ringkas reinvents the KPR process from the ground up to be more efficient and faster with technology, guaranteeing a smooth customer experience with trustworthy partners.","Jakarta, Jakarta Raya, Indonesia",11-50,Active,5800000,USD,5800000,3500000,USD,3500000,2023-05-31,support@ringkas.co.id
Peggy,https://www.crunchbase.com/organization/peggy,For Profit,Private,Seed,"Apps, Art, Blockchain, Consumer, Consumer Applications, FinTech, Marketplace, Mobile, Mobile Apps","Peggy is the secure marketplace for investment-grade art. In times of societal crisis and turmoil throughout humanity, artists pave the way for social change and transformation. As an investment, art is among the only appreciating asset classes you can also enjoy (like real estate), plus is uncorrelated to traditional markets. This is why billionaires and banks seek out art as a safe haven to preserve wealth in their portfolios. Yet tragically, the rest of us are unable to participate in the art market, and support the practice of emerging artists who create transformative messages through their works. Peggy partners with galleries and artists, to make living with and investing in art accessible to all. Finally you can buy incredible art at a price you can afford, and can later sell to fellow collectors if your tastes change or you seek to rebalance your art investments. Core to our values, Peggy does good by the artists themselves, who can finally earn artist royalties for all future secondary sales as well - something they miss out on today. Peggy also has powerful benefits for galleries (get in touch!) This is all made possible using sophisticated and proprietary AI and ML which keeps buyers and sellers protected without the need for the antiquated and opaque Auction House model.","Toronto, Ontario, Canada",11-50,Active,10800000,CAD,8065148,10800000,CAD,8065148,2023-02-07,craig@peggy.com
Streetbeat,https://www.crunchbase.com/organization/streetbeat,For Profit,Private,Seed,"Big Data, Cryptocurrency, FinTech, Trading Platform","Streetbeat is a subscription-based investment platform that uses artificial intelligence to navigate the complex stock market. It offers hedge fund-level investment insights and data analysis for stocks and ETFs, as well as automated investment strategies tailored to your preferences. The subscription fee is $12.50 per month and users can create their own strategies or replicate the trading strategies of investors like the US Congress, Generative AI Titans, and more. Streetbeat enables users to tap into data and expertise like they are talking to a financial advisor.","Palo Alto, California, United States",11-50,Active,12000000,USD,12000000,10000000,USD,10000000,2022-02-07,info@streetbeat.com
Okra,https://www.crunchbase.com/organization/okra-inc,For Profit,Private,Seed,"Developer APIs, Financial Services, FinTech",Digitizing financial services for Africa.,"Lagos, Lagos, Nigeria",11-50,Active,4500000,USD,4500000,3500000,USD,3500000,2021-04-21,hello@okra.ng
Kandle,https://www.crunchbase.com/organization/drisk-93f1,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Gaming, Online Games","Kandle is a revolutionary gameFi platform that aims to empower the existing and next billion crypto traders globally by introducing fantasy gaming to crypto.  Designed exclusively for crypto natives and gaming enthusiasts, Kandle blends the world of crypto coins and the immersive thrill of gaming thus offering a diverse array of fantasy leagues and challenging skill-based prediction contests to fuel your competitive spirit. Embrace a new era of fun and enjoyable crypto fantasy gaming. For more info, visit kandle.xyz","Singapore, Central Region, Singapore",51-100,Active,1700000,USD,1700000,1700000,USD,1700000,2023-07-25,hello@kandle.xyz
