Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
FLX Networks,https://www.crunchbase.com/organization/flx-distribution,Series A,"Cloud Computing, Communities, Financial Services, FinTech, Software","FLX Networks revolutionizes engagement for asset and wealth management firms and financial advisors. FLX community members access thought leadership, investment ideas, business resources, and industry connectivity in one centralized destination, delivering productivity, savings, and growth.","Bernardsville, New Jersey, United States",11-50,Active,15100000,USD,15100000,10000000,USD,10000000,2022-11-03,Brian@flxnetworks.com
Gro,https://www.crunchbase.com/organization/gro-73f7,Seed,"Blockchain, Cryptocurrency, Finance, FinTech, Software","Gro builds products, called protocols or autonomous programs, for a more simple and friendly DeFi experience. Gro empowers people to easily create and share wealth, by combining the best of decentralized and legacy finance.","London, England, United Kingdom",11-50,Active,7100000,USD,7100000,7100000,USD,7100000,2021-03-30,
Obligate,https://www.crunchbase.com/organization/fqx,Seed,"Blockchain, Finance, FinTech, Information Technology","Obligate allows companies to issue on-chain bonds and commercial paper to receive funding from investors in a regulated DeFi environment. The company utilizes smart contracts and tokenization in place of intermediaries such as paying and issuer agents to be able to reduce the costs associated with a bond issuance by 80% and reduce the time needed for an issuance from weeks to hours. Obligate was founded in 2019 and is located in Zurich, Switzerland.","Zürich, Zurich, Switzerland",11-50,Active,10700000,USD,10700000,4000000,USD,4000000,2023-01-19,
savart,https://www.crunchbase.com/organization/savart,Seed,"Advice, Crowdfunding, Financial Services, FinTech, Stock Exchanges, Wealth Management","Savart is an international investment advisory & technology company headquartered in Hyderabad, India. At Savart, it is our passion to help investors achieve out performance with investments in stock, mutual fund and bond investments in India & abroad.","Hyderabad, Andhra Pradesh, India",11-50,Active,2144933,USD,2144933,1500000,USD,1500000,2022-09-22,hi@savart.in
Klavi,https://www.crunchbase.com/organization/klavi,Series A,"Banking, Credit, Financial Services, FinTech, Payments","Klavi is a developer of an open finance platform for data aggregation, analytics, and API services. The company offers bank accounts, finance and credit card, payment management, and other related services that help customers to automate tracking and checking accounts, credit cards, and account payables. Klavi was co-founded in 2020 by Bruno Chan and Stone Zheng.","São Paulo, Sao Paulo, Brazil",11-50,Active,16500000,USD,16500000,15000000,USD,15000000,2022-08-11,k@klavi.ai
Valora,https://www.crunchbase.com/organization/valora-fc01,Series A,"Blockchain, Financial Services, FinTech, Mobile Payments","Valora is a mobile-first crypto wallet native to the Celo Platform, available on both iOS and Android devices. Valora makes blockchain useful and accessible even on the most basic smartphones, enabling 6 billion smartphone users worldwide to reliably save, send, and spend crypto as easily as sending a text message.","San Francisco, California, United States",1-10,Active,20000000,USD,20000000,20000000,USD,20000000,2021-07-21,
Inclined Technologies,https://www.crunchbase.com/organization/inclined-technologies,Series A,"Consumer Lending, Financial Services, FinTech, Lending","Inclined is a financial technology company that helps policyholders enhance the value of their life insurance policies. Inclined is focused on driving better long-term outcomes for whole life policyholders. Their singular mission is to help policyholders get more value out of their whole life insurance policy. Inclined's first product is the Inclined Line Of Credit (iLOC). The company was founded in 2020 and is based in San Francisco, California.","San Francisco, California, United States",11-50,Active,19000000,USD,19000000,15000000,USD,15000000,2022-09-23,
NachoNacho,https://www.crunchbase.com/organization/nachonacho,Seed,"Financial Services, FinTech, Marketplace, SaaS","NachoNacho is a marketplace for B2B SaaS. For Buyers: NachoNacho is an application that helps businesses and freelancers (a) consolidate and control all their subscriptions in one account using virtual credit cards, and (b) buy new subscriptions at substantial discounts. Account setup takes less than 5 minutes. For Sellers: NachoNacho is a new user acquisition channel for SaaS vendors. They acquire new subscribers at a cost lower than their CAC. No technical integration is required to list SaaS products, and there is no charge for listing. Listing a product takes less than half hour.","San Francisco, California, United States",1-10,Active,3000000,USD,3000000,3000000,USD,3000000,2022-02-01,info@nachonacho.com
Finery Markets,https://www.crunchbase.com/organization/finery-technology,Seed,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Marketplace, Peer to Peer, Risk Management, Software, Wholesale","Finery Markets is a leading over-the-counter, multi-dealer electronic marketplace for institutional participants and a trading solutions provider for crypto markets.  Serving clients since 2019, Finery Markets provides solutions throughout the whole trade lifecycle: - High-performance execution venue with deep institutional liquidity and firm quotes. - Price intelligence and pre-trade risk management tools.  - Position management, risk controls, reporting tools and cost analysis, as well as flexible settlement based on a noncustodial model. - Single entry point to global liquidity providers via API and GUI. - Robust infrastructure: 99.99+% uptime and full automation.   The Finery Markets platform is available as a white-label solution for prime brokers, OTC desks and exchanges that are willing to develop and expand a low-touch client business.","Limassol, Limassol, Cyprus",11-50,Active,5500000,USD,5500000,5500000,USD,5500000,2022-11-30,info@finerymarkets.com
BridgerPay,https://www.crunchbase.com/organization/bridgerpay,Seed,"Financial Services, FinTech, Information Technology, Internet, PaaS, Payments, Software","BridgerPay is a payments operations platform that uses one API, customizable checkout, and a single admin interface to allow your business to integrate with any Payment Service Provider you want. BridgerPay offers fast, on-demand connectivity to any payment method worldwide. Our drag and drop interface gives you complete control over your payment experience. We empower your business to scale faster by simplifying how you manage payments. BridgerPay was established on January 1, 2017 by Ran Cohen in Limassol, Cyprus.","Limassol, Limassol, Cyprus",11-50,Active,16000000,USD,16000000,6000000,USD,6000000,2022-05-05,hello@bridgerpay.com
NAKAD,https://www.crunchbase.com/organization/nakad,Seed,"Financial Services, FinTech","NAKAD operates as a fintech startup. NAKAD, with its proprietary MicroBill technology infrastructure, offers invoice discounting services to MSMEs, which were previously unavailable to them from formal channels.","Delhi, Delhi, India",1-10,Active,7000000,USD,7000000,7000000,USD,7000000,2022-05-25,
InvestSuite,https://www.crunchbase.com/organization/investsuite,Series A,"Asset Management, Financial Services, FinTech, Software, Trading Platform, Wealth Management","InvestSuite helps financial institutions modernize & extend their wealth management product range with our suite of white-label solutions.  We are a pure B2B fintech with a team of seasoned experts who operate across AI/machine learning, design, human insights and wealth management. We believe the combination of changing customer expectations, technological evolutions and the emerging new ecosystem of financial institutions, fintechs, core banking platform providers and others is creating enormous growth opportunities.","Louvain, Vlaams-Brabant, Belgium",11-50,Active,15566000,EUR,16976392,6000000,EUR,5989147,2022-09-14,hello@investsuite.com
Resolve,https://www.crunchbase.com/organization/resolve-292f,Seed,"FinTech, Health Care, Information Services","Resolve uses data-informed insights to act as a Guardian Angel for patients with excessive medical bills - stepping between them and hospitals and insurance companies to significantly lower the amount that they owe. The company audits, reviews, and negotiates medical bills to identify errors and problems. Resolve was founded in 2019 and is based in Hanover, New Hampshire.","Hanover, New Hampshire, United States",11-50,Active,3615000,USD,3615000,3300000,USD,3300000,2022-07-18,advocate@resolvemedicalbills.com
Pemo,https://www.crunchbase.com/organization/pemo,Seed,"Accounting, FinTech, SaaS","Pemo is an all-in-one spend management solution that empowers your business by packing every company invoice, expense, approval and spending decision into one powerful platform. Our offering includes smart corporate cards, invoice payment systems and expense tracking functions. These are supported by automated approval flows, direct accounting integration and real-time reporting - features that allow business owners to save time, save money, automate admin and every expense so you can get on with what you do best - building great businesses.","Dubai, Dubai, United Arab Emirates",11-50,Active,12000000,USD,12000000,12000000,USD,12000000,2022-05-18,hello@pemo.io
Rebellion Pay,https://www.crunchbase.com/organization/rebellion-pay,Seed,"Financial Services, FinTech, Mobile","Rebellion Pay was created to meet the needs of a generation of young people who do not identify with conventional banks.  Rebellion is positioned as the Spanish neobank leader among Gen Z and Millenial generations. We offer banking services in a way more similar to Netflix, Uber or Spotify than to the use of conventional banking. Rebellion looks for the connection of the financial sector and the social network we are familiar with because what really tells a story about you is your transactions, the way you consume! Our business model is based on different revenue streams such as consumer finance, cryptocurrencies and insurance on demand. All from a simple, secure, humane and transparent perspective.","Madrid, Madrid, Spain",11-50,Active,7641497,USD,7641497,6000000,EUR,6841497,2018-11-01,hello@rebellionpay.com
Starship,https://www.crunchbase.com/organization/starship-hsa,Series A,"Accounting, Advice, Banking, Finance, Financial Services, FinTech","Starship specializes in simplifying health savings accounts. The company automates health spending, savings, and investing in one place. They make health savings accounts accessible to everyone. They build a healthcare savings account platform that combines a mobile-first signup process, overflow investing into index funds, easy reimbursements, and a chat service for advice.","New York, New York, United States",11-50,Active,7000000,USD,7000000,,,,2021-03-11,support@starshiphsa.com
Acorn Finance,https://www.crunchbase.com/organization/acorn-finance,Series A,"Finance, Financial Services, FinTech, Home Improvement, Information Technology, Personal Finance",Acorn Finance provides home improvement financing to contractors and homeowners. The company was founded by Giri Addanki in 2017.,"Sacramento, California, United States",11-50,Active,12400000,USD,12400000,8400000,USD,8400000,2022-01-11,help@acornfinance.com
NewRetirement,https://www.crunchbase.com/organization/newretirement-inc,Series A,"Financial Services, FinTech, InsurTech, Retirement","NewRetirement provides a retirement planning and management platform both direct to consumer and to the enterprise via white label or API. NewRetirement helps people manage retirement income, healthcare, lower taxes, and manage fees through content, software, coaching, classes and advisors.  The platform helps users optimize across Social Security, Medicare, Taxes, Home Equity, Income, Asset drawdown, Relocation, Work, and Estate Planning. Users can also access fee-only advice on-demand for collaborative planning to help them make and act on better decisions about their future.","Mill Valley, California, United States",11-50,Active,2200000,USD,2200000,,,,2022-03-18,customer_service@newretirement.com
Maestro,https://www.crunchbase.com/organization/maestro-d4e6,Series A,"Financial Services, FinTech, Project Management, SaaS, Software","Maestro is a centralized SaaS platform that helps PE professionals elevate operational performance and accelerate value creation of PE-backed companies. Maestro enables a modern, efficient, and measurable approach to strategy execution across all aspects of the PE lifecycle – from diligence to 100 day planning to exit – driving alignment among all stakeholders and leading to stronger financial outcomes.","New York, New York, United States",11-50,Active,7200000,USD,7200000,7200000,USD,7200000,2020-11-10,hello@go-maestro.com
CashBook,https://www.crunchbase.com/organization/cashbook-2791,Seed,"Apps, FinTech, Information Technology, Software",CashBook creates an online application to record and track expenses and income of businesses. It offers a digital access of data for small businesses who still use pen and paper to write information. Cashbook was founded in 2020 by Vivek Kumar and Ashutosh Pathak,"Bengaluru, Karnataka, India",11-50,Active,170000000,INR,2292231,170000000,INR,2292231,2021-09-28,team@cashbookapp.in
Indicina,https://www.crunchbase.com/organization/indicina,Seed,"Analytics, Credit, FinTech, Lending","Indicina is a digital lending platform that provides analytics-driven credit decisions for lenders. The company offers technology solutions to help businesses in offering credit to customers faster, more securely, and at scale. It was founded in 2018 and is based in Lagos, Nigeria.","Lagos, Lagos, Nigeria",11-50,Active,7505796,USD,7505796,3000000,USD,3000000,2022-06-06,growth@indicina.co
Reku,https://www.crunchbase.com/organization/rekeningku,Series A,"Cryptocurrency, Financial Services, FinTech","Rekeningku offers a cryptocurrency exchange, app-based crypto wallets, and more. Users can follow the data verification process in order to start purchasing bitcoin and other digital assets. Funds can be transferred via bank transfers or credit/debit cards for purchasing cryptocurrencies.","Jakarta, Jakarta Raya, Indonesia",11-50,Active,11000000,USD,11000000,11000000,USD,11000000,2022-09-14,cs@accountku.com
Quotabook,https://www.crunchbase.com/organization/quota-lab,Series A,"Developer Platform, Financial Services, FinTech, Software","Quotabook is a developer of portfolio management software designed to manage equity. The company provides an automated system that provides company management, stakeholders management, securities management, information management, and fund management services, the company's software assists shareholders and investors in managing their equity and other portfolios.  Quotabook was established in 2019 by Dan Hong and Pilseon Jun in Seoul-t'ukpyolsi.","Seoul, Seoul-t'ukpyolsi, South Korea",11-50,Active,16859860,USD,16859860,11000000,USD,11000000,2022-08-16,info@quotabook.com
Finmo,https://www.crunchbase.com/organization/finmo-9168,Seed,"Financial Services, FinTech, Payments","Finmo is a full stack modern treasury platform focused on interconnecting financial networks around the world into a single solution.  Our mission is to simplify payments and empower businesses and consumers to transact with their local real time payment networks securely without having to share sensitive data with each other and provide simplest possible experiences with minimal to no code solutions.  With the growth in Fintech, we recognise that payments are getting more complex and we are building user-friendly solutions to keep up with this pace and make payments faster and smarter.   Our cloud based infrastructure connects directly into local endpoints across our major markets through direct local licenses.  With a strong enterprise grade technology stack, we provide a simple API solution and portals to track and maintain payment records per consumer.  Founded in 2021, Finmo is a global platform with headquarters in Singapore and offices in Australia, India and further expansion on the horizon. Finmo is venture backed and founded by a team of payment professionals with 2 decades of experience in building global payments infrastructure and companies.","Singapore, Central Region, Singapore",11-50,Active,3500000,USD,3500000,200000,USD,200000,2023-06-21,info@finmo.net
Say,https://www.crunchbase.com/organization/asayinc,Seed,"Financial Services, FinTech, Information Technology, Management Consulting, Technical Support","Say is a technology platform that empowers shareholders to access their full ownership rights. The platform features proxy processing, fund reports, trade confirmations, post-sale prospectus delivery, voluntary corporate actions, and class actions processing. The company was founded in 2017 and is headquartered in New York.","New York, New York, United States",11-50,Active,8000000,USD,8000000,,,,2018-09-01,hello@say.com
Zumo,https://www.crunchbase.com/organization/zumo,Seed,"Financial Services, FinTech, Software","Zumo believes everyone should have access to sustainable finance, and that blockchain has the power to deliver this globally. Its mission is to provide a better planet for digital assets, delivering sustainable, accessible and secure ways to unlock the benefits of web3.  As an enterprise-focused digital-asset-as-a-service platform, Zumo’s turnkey, API-based infrastructure offers a fast, flexible and compliance-sensitive route to market, empowering fintechs, banks, asset managers and brands to offer their clients the tools of the future simply, securely and sustainably while also opening up new revenue streams, attracting new customers and supporting customer retention. A values-driven business, Zumo has underlined its commitment to a fairer society and a sustainable planet with an ambitious 2030 net zero strategy encompassing its own business; the blockchains it works with; and the wider digital asset ecosystem. Carbon-neutral since inception, the business is committed to ongoing collaboration in the decarbonisation of the digital assets industry. Zumo was an early signatory of the Crypto Climate Accord, the first digital asset business to receive UK government funding from the UK’s national innovation agency, Innovate UK, to further its applied work on the decarbonisation of digital assets, and is now a key contributor to industry guidance on the energy consumption of blockchain, working in tandem with  the World Economic Forum and the OECD. Zumo’s infrastructure also powers the direct-to-consumer Zumo App, launched in the UK and registered with the Financial Conduct Authority (FCA).","Edinburgh, Edinburgh, City of, United Kingdom",11-50,Active,14496548,USD,14496548,7000000,GBP,8690006,2023-04-25,hello@zumo.tech
Xelix,https://www.crunchbase.com/organization/xelix,Series A,"Artificial Intelligence, Computer, Finance, FinTech, Machine Learning, SaaS, Software","Xelix is an enterprise SaaS company offering an AI-powered Control Centre for Accounts Payable teams. We work with some of the largest global companies to automate and enhance their financial control processes. Xelix has raised £6m in Seed and Series A funding from VC investors Fintop Capital, Passion Capital and Localglobe, as well as seasoned angels such as Paul Forster (founder of indeed.com) and Simon Burke (ex-CEO of Virgin). The Xelix platform is cloud-based, flexible and suitable for large organisations across all sectors. We pride ourselves on providing 10/10 customer support and love to co-develop functionality with customers. See our customer reviews here.","London, England, United Kingdom",11-50,Active,5000000,USD,5000000,5000000,USD,5000000,2022-06-30,hello@xelix.com
Belay,https://www.crunchbase.com/organization/wolf-financial,Seed,"Financial Services, FinTech, InsurTech","Belay is a collaborative financial research platform that manages the risk of investments. The company was founded in 2020 and is headquartered in Philadelphia, Pennsylvania, United States.","Philadelphia, Pennsylvania, United States",11-50,Active,4995000,USD,4995000,4300000,USD,4300000,2022-06-28,michael@withbelay.com
Single.Earth,https://www.crunchbase.com/organization/single-earth,Seed,"FinTech, GreenTech, Information Technology","Single.Earth is a tokenization platform that enables forests, wetlands, and other planetary resources to generate profit for landowners by selling them as carbon and biodiversity credits, instead of raw materials.  It helps solve the climate crisis by building a digital twin of nature that reveals how much any area of ecological significance in the world absorbs CO2 and retains biodiversity, allowing tokens to be used to trade as an investment instrument, compensate for CO2 footprint, or contribute to climate goals. For more information, visit: https://www.single.earth/","Tallinn, Harjumaa, Estonia",11-50,Active,7900000,USD,7900000,7900000,USD,7900000,2021-07-06,team@single.earth
Helios.do,https://www.crunchbase.com/organization/helios-do,Seed,"Banking, Finance, FinTech, GreenTech, Impact Investing",Leading sustainable banking alternative - 100% transparent and dedicated to limite climate change,"Paris, Ile-de-France, France",11-50,Active,10500000,EUR,11528478,9000000,EUR,9751636,2022-04-21,contact@helios.do
Raison,https://www.crunchbase.com/organization/raison-bb3a,Seed,"Cryptocurrency, Financial Services, FinTech, Wealth Management","Raison app solves the issue of unmet demand for next-generation financial products. Our platform aims to democratize the investment process by offering lower barriers to entry for clients with different capital levels. Using blockchain technology, we integrated fractional shares and created the world's first legal structure for secure venture investments available for everyone. We lowered the entry ticket and made it possible for people to invest in the biggest private companies like Klarna, SpaceX, or Scale AI via a fast and easy-to-use digital experience.","Tallinn, Harjumaa, Estonia",11-50,Active,1948803,USD,1948803,900000,USD,900000,2021-12-17,info@raison.app
Delta One,https://www.crunchbase.com/organization/delta-one,Seed,"Blockchain, Cryptocurrency, FinTech","Delta One is a yield generation protocol on Solana that offers novel delta-neutral and impermanent loss-free farming markets. Its mission is to create novel, easy-to-use Defi primitives that democratize the best risk-adjusted yield opportunities to achieve mass adoption of crypto investing.","Palo Alto, California, United States",1-10,Active,9100000,USD,9100000,9100000,USD,9100000,2022-04-19,team@deltaone.xyz
Cega,https://www.crunchbase.com/organization/cega,Seed,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech","Cega is building the next evolution in defi derivatives. We are the first protocol focused purely on exotic derivatives, a class of options products that combine basic options (e.g. call/put) with advanced options characteristics to create packaged offerings for investors which generate superior yield, provide downside protection, and express infinite views of the financial market.","Singapore, Central Region, Singapore",1-10,Active,9300000,USD,9300000,5000000,USD,5000000,2023-03-27,
Here,https://www.crunchbase.com/organization/here-vacations,Seed,"FinTech, Hospitality, Mobile Apps, Real Estate, Travel Accommodations, Vacation Rental",Here enables anyone anywhere to invest in vacation rentals online and earn passive income from the highest-yielding asset class in real estate — without ever lifting a finger.,"Miami, Florida, United States",1-10,Active,5000000,USD,5000000,3500000,USD,3500000,2022-07-13,hello@here.co
Duplo,https://www.crunchbase.com/organization/duplo,Seed,"B2B, Finance, FinTech, Payments","Duplo is an embedded payments product for B2B businesses in Africa. We provide APIs and user interfaces, businesses can use to collect and attribute payments.","Lagos, Lagos, Nigeria",11-50,Active,6200000,USD,6200000,4900000,USD,4900000,2022-08-31,hello@tryduplo.com
EquityMultiple,https://www.crunchbase.com/organization/equitymultiple,Seed,"Crowdfunding, FinTech, Personal Finance, Real Estate, Real Estate Investment, Wealth Management",EquityMultiple is a commercial real estate investment company. They make real estate investing accessible for accredited investors. They provide online investing processes and tools for managing portfolios.,"New York, New York, United States",11-50,Active,5000000,USD,5000000,,,,2020-11-15,contact@equitymultiple.com
Gaviti,https://www.crunchbase.com/organization/gaviti,Series A,"Accounting, Enterprise Software, Financial Services, FinTech, Lending, Payments, Software","Gaviti is an accounts receivable collection platform designed to streamline the collections process and accelerates cash flow. Gaviti is a platform for collections teams that helps SMEs receive faster payment on more of their bills. The system enhances every step of the collection process, from job management to automating highly personalized dunning emails. Gaviti offers payment forecasting, risk rating, and useful insights that can help collections teams and their leadership improve their performance over time.","Tel Aviv, Tel Aviv, Israel",11-50,Active,11425000,USD,11425000,9000000,USD,9000000,2022-04-05,info@gaviti.com
Peakflo,https://www.crunchbase.com/organization/peakflo,Seed,"FinTech, Information Services, Information Technology, Software","Peakflo is a collections and payables SaaS built for businesses in SE Asia. Using its simple API and one-click accounting software integration, it allows businesses to streamline their entire finance operations. 187 finance team users (from early-stage startups to unicorns) use peakflo each week to: 1. Save 100 hours/month on finance operations 2. Get paid faster on their invoices by 10-20 days 3. Streamline vendor payment process and reduce fees by 50-90%","Singapore, Central Region, Singapore",11-50,Active,5100000,USD,5100000,4100000,USD,4100000,2022-07-06,info@peakflo.co
Spinwheel,https://www.crunchbase.com/organization/spinwheel,Seed,"Financial Services, FinTech, Mobile Payments, Payments, Software","Spinwheel is a software platform that helps Americans get out of debt sooner by embedding solutions in their favorite apps. The company's API infrastructure helps Americans connect, pay, and manage their debts in third-party apps and services. Spinwheel was founded in 2019 and is headquartered in Oakland, California.","Oakland, California, United States",11-50,Active,11000000,USD,11000000,11000000,USD,11000000,2021-05-07,hello@spinwheel.io
Kinly,https://www.crunchbase.com/organization/kinly-c638,Series A,"Financial Services, FinTech",Kinly is a diverse financial technology company dedicated to meeting the specific needs of African-Americans and their allies.,"Atlanta, Georgia, United States",1-10,Active,20000000,USD,20000000,15000000,USD,15000000,2022-06-13,support@bekinly.com
idaciti,https://www.crunchbase.com/organization/idaciti-inc,Seed,"Accounting, Analytics, Big Data, Financial Services, FinTech, SaaS, Software",idaciti offers a SaaS platform that provides insight to public financial and non-financial data.,"New York, New York, United States",11-50,Active,2015000,USD,2015000,1325000,USD,1325000,2018-12-18,info@idaciti.com
Union54,https://www.crunchbase.com/organization/union54,Seed,"Debit Cards, Financial Services, FinTech, Payments","Union54 is a debit card issuing API for fintech and corporates. Union54 allows any software company to issue debit cards to their customers without needing any bank or credit card processor. It provides BIN sponsorship., transaction processing, and settlement. Founded in 2020, Union54 is based in Lusaka, Zambia.","Lusaka, NA - Zambia, Zambia",1-10,Active,15125000,USD,15125000,12000000,USD,12000000,2022-04-18,perseus@union54.com
Altonomy,https://www.crunchbase.com/organization/altonomy,Seed,"Asset Management, Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform","Altonomy is a trading, advisory, and asset management firm specializing in cryptocurrency and digital assets. It is the sell-side trading desk to provide institutional-grade liquidity solutions, OTC trading, advisory, and asset management services under one roof. Altonomy maintains a robust network of partners, including the industry's top crypto projects, exchanges, and hedge funds. Altonomy now has three services: OTC trading and execution services, liquidity management and advisory, and institutional cloud mining (AltMiner). 1.	OTC trading and execution services Altonomy provides 24/7 OTC transaction services for crypto-to-fiat and crypto-to-crypto transactions, while simultaneously offering best-in-class coverage for illiquid tokens. Our proprietary Hybrid IQ methodology combines the team's extensive crypto market experience with market-making algorithms to provide deep order book depth and optimal spreads. In doing so, Altonomy ensures best execution of token trades with varying liquidity. 2.	Liquidity management and advisory Altonomy helps aspiring token issuers and cryptocurrency exchanges meet their respective requirements for public listings and liquidity management. The firm also acts as a market-maker for a variety of publicly-listed tokens. Offering broad access to crypto-themed investment firms, family offices, and syndicates across the globe, Altonomy has direct partnerships with more than 80 token issuers, among which 40-plus are ranked top-200 by market capitalization, as well as top global and regional investment funds. 3.	Institutional cloud mining (AltMiner) AltMiner is a cloud-based mining product tailored to international institutions and accredited investors seeking long-term exposure to bitcoin. This entitles them to a share of any digital assets the machine successfully recoups over that period, without incurring the same cost overheads as direct ownership of mining technology would.","Singapore, Central Region, Singapore",11-50,Active,7000000,USD,7000000,7000000,USD,7000000,2019-07-15,contact@altonomy.com
inai,https://www.crunchbase.com/organization/inai,Seed,"FinTech, Payments, Software","Inai is a single integration for your global payment stack. Inai will provide connections to multiple payment service providers ( Stripe, Adyen , Braintree), Wallets, BNPL platforms, open banking providers, fraud, BI and accounting in a single integration. Our dashboard will allow merchants to build custom workflows tailored to their unique business needs without writing any code","Newark, Delaware, United States",11-50,Active,4000000,USD,4000000,4000000,USD,4000000,2021-09-20,
Sika Health,https://www.crunchbase.com/organization/sika-health,Seed,"FinTech, Health Care, Payments, Software","Sika Health provides payment solutions for the healthcare sector. It enables users to integrate health wallets via tools. Users can use health wallets for expenses such as medical bills, dental, medicines, and more. The company was founded in 2021 and is based in New York, New York.","New York, New York, United States",1-10,Active,6200000,USD,6200000,6200000,USD,6200000,2022-01-24,
Floating Point Group,https://www.crunchbase.com/organization/floating-point-group,Series A,"Financial Services, FinTech","Floating Point Group (“FPG”) is a prime brokerage that removes the barriers to access liquidity across a broad set of markets in order to deploy advanced cryptocurrency-centric strategies at scale. The company runs the largest global digital asset agency trading desk, partnering with funds and blockchain foundations to efficiently execute their trades.  Floating Point Group is backed by Tribe Capital, Coinbase Ventures, Anthony Scaramucci, FAST by GettyLab, Borderless Capital, CapitalX, Formulate Ventures, BoxOne Ventures, Seabury Global Markets, AngelList’s Naval Ravikant, and a host of angel and institutional investors. For more information, visit floating.group.","Singapore, Central Region, Singapore",11-50,Active,12000000,USD,12000000,10000000,USD,10000000,2021-09-15,
Vested,https://www.crunchbase.com/organization/vested-co,Seed,"Financial Services, FinTech","Vested believes that companies, founders, and investors should be more fair and transparent with their equity.","New York, New York, United States",11-50,Active,5300000,USD,5300000,3600000,USD,3600000,2021-01-17,press@vested.co
Outgo Inc,https://www.crunchbase.com/organization/outgo,Seed,"Financial Services, FinTech, Freight Service, Software","Outgo is a venture-backed, all-in-one vertical banking solution for freight carriers. Outgo’s products help automate broker setups, invoicing, factoring, collections, accounting, and tax services without contracts or minimums – finally providing a solution to a decades-long problem for carriers, and allows them to take complete control of their finances. Founded by former executives at top transportation companies including Uber and Convoy, the company was launched in 2022 and is headquartered in Seattle. To learn more, visit https://www.outgo.co","Seattle, Washington, United States",11-50,Active,3549998,USD,3549998,149998,USD,149998,2022-08-11,press@outgo-inc.com
Routefusion,https://www.crunchbase.com/organization/route-fusion,Seed,"Finance, Financial Services, FinTech, Payments","Routefusion is the standard for international bank-to-bank payments. Their industry-leading API enables their fintech, marketplace, financial institution, cross-border payments app, e-commerce platform, and others to make bank-to-bank international payouts to over 130+ countries. It enables neo-banks, payroll providers, platforms, and marketplaces to begin offering cross-border payments to their customers in days not months.","Austin, Texas, United States",11-50,Active,14150000,USD,14150000,10500000,USD,10500000,2022-01-19,info@routefusion.com
Mycelium,https://www.crunchbase.com/organization/mycelium,Series A,"Blockchain, Cryptocurrency, Financial Services, FinTech",Mycelium is pioneering secure and private digital banking for the era of digital assets.,"London, England, United Kingdom",11-50,Active,11500000,USD,11500000,5000000,USD,5000000,2018-01-03,bm@mycelium.com
Paytail,https://www.crunchbase.com/organization/paytail,Seed,"Financial Services, FinTech",Paytail is a technology start-up providing instant paperless EMIs to consumers to buy products as well as services across millions of offline merchants.,"Delhi, Delhi, India",11-50,Active,1500000,USD,1500000,1500000,USD,1500000,2021-09-16,
AllWork,https://www.crunchbase.com/organization/allwork,Series A,"Enterprise Software, FinTech, Freelance, SaaS","AllWork is a software-enabled payments platform for freelancers and the gig economy. It assists companies to simplify how they onboard, manage, and pay all of their freelancers, contractors, consultants, and flexible workers across their entire organization.","New York, New York, United States",11-50,Active,8700000,USD,8700000,4900000,USD,4900000,2022-12-01,info@allworknow.com
First Boulevard,https://www.crunchbase.com/organization/tenth,Series A,"Banking, Financial Services, FinTech","First Boulevard is a digitally native neobank building generational wealth for Black America. Though unbanked, underbanked and underserved, the Black community’s $1.4-trillion in annual economic impact provides a significant base to build upon. By developing a platform focused on improving financial livelihood through incentive-based financial education, Black-focused spending, and automated wealth building, First Boulevard helps members remove the stress out of managing their money while also developing positive financial behaviors and habits to reach goals faster.","Overland Park, Kansas, United States",11-50,Active,20000000,USD,20000000,15000000,USD,15000000,2021-08-12,Hello@BankBLVD.com
Bound,https://www.crunchbase.com/organization/bound-7651,Seed,"Financial Exchanges, Financial Services, FinTech",Bound is a fintech company that makes FX management easy for every business. The company was founded by Seth Phillips and Daniel Kindler in 2020.,"London, England, United Kingdom",1-10,Active,6500000,USD,6500000,6500000,USD,6500000,2021-11-09,
Sift Healthcare,https://www.crunchbase.com/organization/sift-medical-data,Series A,"Artificial Intelligence, FinTech, Health Care, Information Services, InsurTech, Predictive Analytics, Software","Sift Healthcare brings data science to healthcare payments, integrating machine learning and predictive analytics to reduce insurance denials, maximize patient payments and optimize revenue cycle operations. The company provides insights necessary to accelerate insurance payments, reduce overall denials, increase patient responsibility collections, monitor payer contracts and drive smarter workflows. Sift Healthcare captures insurance claim and patient financial data into a HIPAA-compliant, cloud-based and normalized database, providing a single source of truth for around your healthcare payments. By applying multiple data science techniques, Sift also provides comprehensive and integrated recommendations for denials management, payer assessment, patient collections and patient acquisition.","Milwaukee, Wisconsin, United States",11-50,Active,16038500,USD,16038500,9000000,USD,9000000,2022-07-15,sales@sifthealthcare.com
